genre1,genre2,count
death,depressive,7
death,powerviolence,7
death,neoclassical,7
thrash,electronic,7
thrash,epic,7
thrash,jazz,7
thrash,grunge,7
blackened,industrial,7
blackened,brutal,7
blackened,punk,7
blackened,speed,7
doom,raw,7
doom,darkwave,7
brutal,blackened,7
experimental,symphonic,7
experimental,folk,7
industrial,drone,7
industrial,blackened,7
heavy,crust,7
rock,technical,7
rock,grunge,7
rock,celtic,7
rock,hardcore,7
progressive,classical,7
metalcore,southern,7
technical,rock,7
power,alternative,7
djent,death,7
black,neoclassical,7
southern,metalcore,7
raw,folk,7
raw,doom,7
speed,blackened,7
atmospheric,shoegaze,7
atmospheric,drone,7
hard,aor,7
gothic,neoclassical,7
ambient,avant-garde,7
ambient,ritual,7
folk,raw,7
folk,experimental,7
symphonic,experimental,7
powerviolence,death,7
drone,industrial,7
drone,atmospheric,7
hardcore,rock,7
aor,hard,7
depressive,shoegaze,7
depressive,death,7
crust,heavy,7
alternative,power,7
noise,dark,7
dark,noise,7
electronic,thrash,7
roll,grind,7
epic,thrash,7
punk,blackened,7
avant-garde,ambient,7
shoegaze,depressive,7
shoegaze,atmospheric,7
neoclassical,black,7
neoclassical,gothic,7
neoclassical,death,7
classical,progressive,7
jazz,thrash,7
celtic,rock,7
darkwave,doom,7
grunge,thrash,7
grunge,rock,7
grind,roll,7
ritual,ambient,7
death,crustcore,6
death,southern,6
thrash,viking,6
thrash,pagan,6
blackened,drone,6
doom,post-,6
doom,roll,6
doom,crossover,6
brutal,groove,6
experimental,extreme,6
industrial,raw,6
industrial,funeral,6
industrial,extreme,6
industrial,power,6
heavy,dark,6
heavy,nu-metal,6
groove,electronic,6
groove,brutal,6
groove,roll,6
groove,rac,6
stoner,grindcore,6
stoner,gothic,6
stoner,metalcore,6
stoner,melodic,6
rock,roll,6
rock,jazz,6
rock,nu-metal,6
progressive,djent,6
melodic,stoner,6
metalcore,gothic,6
metalcore,stoner,6
power,industrial,6
power,hardcore,6
sludge,powerviolence,6
sludge,post-black,6
sludge,post,6
sludge,roll,6
grindcore,roll,6
grindcore,stoner,6
grindcore,raw,6
djent,progressive,6
black,middle,6
black,eastern,6
black,post-punk,6
southern,death,6
raw,industrial,6
raw,punk,6
raw,grindcore,6
crossover,doom,6
deathcore,atmospheric,6
atmospheric,deathcore,6
atmospheric,crust,6
post-metal,shoegaze,6
post-metal,ambient,6
gothic,medieval,6
gothic,metalcore,6
gothic,stoner,6
gothic,funeral,6
ambient,post-rock,6
ambient,acoustic,6
ambient,post-metal,6
folk,acoustic,6
symphonic,operatic,6
symphonic,neoclassical,6
funeral,industrial,6
